team_list_id,tournament_count,player_count,best_placement,first_seen_date,first_seen_tournament_id,first_seen_event_id,regulation_set,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
6545,1,1,113,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6545,6545,2026-08-03 08:41:23.658111+00,0.2.0
6547,1,1,115,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6547,6547,2026-08-03 08:41:23.658111+00,0.2.0
6552,1,1,122,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6552,6552,2026-08-03 08:41:23.658111+00,0.2.0
6555,1,1,125,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6555,6555,2026-08-03 08:41:23.658111+00,0.2.0
6559,1,1,130,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6559,6559,2026-08-03 08:41:23.658111+00,0.2.0
6562,1,1,134,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6562,6562,2026-08-03 08:41:23.658111+00,0.2.0
6565,1,1,137,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6565,6565,2026-08-03 08:41:23.658111+00,0.2.0
6566,1,1,138,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6566,6566,2026-08-03 08:41:23.658111+00,0.2.0
6569,1,1,142,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6569,6569,2026-08-03 08:41:23.658111+00,0.2.0
6572,1,1,145,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6572,6572,2026-08-03 08:41:23.658111+00,0.2.0
6695,1,1,4,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6695,6695,2026-08-03 08:41:23.658111+00,0.2.0
6725,1,2,47,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6725,6725,2026-08-03 08:41:23.658111+00,0.2.0
6737,1,1,63,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6737,6737,2026-08-03 08:41:23.658111+00,0.2.0
6748,1,4,74,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6748,6748,2026-08-03 08:41:23.658111+00,0.2.0
6749,1,1,77,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6749,6749,2026-08-03 08:41:23.658111+00,0.2.0
6758,1,1,89,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6758,6758,2026-08-03 08:41:23.658111+00,0.2.0
6759,1,1,90,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6759,6759,2026-08-03 08:41:23.658111+00,0.2.0
6765,1,1,97,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6765,6765,2026-08-03 08:41:23.658111+00,0.2.0
6766,1,1,98,2026-06-11,436,NA02wgUPFDXKmQmqILwS,m-a,Limitless VGC,https://limitlessvgc.com/teams/6766,6766,2026-08-03 08:41:23.658111+00,0.2.0
